3.7	14.2
-1.3	11.6
-3.4	12.5
-5.3	13.1
0	14
2.4	14.1
-0.6	12.2
2.3	11.6
-3.7	14.4
-0.9	14.2
-1.5	17.3
-3.3	15.1
-0.1	14.7
-0.2	16.2
0.5	16.3
6.1	17.2
4.1	14.8
0.1	16.7
3.2	12.1
5.4	11.3
5.8	12.4
6.3	16.1
-0.9	16.7
0.2	15.5
-3.7	14.7
-2.7	15.2
-2.5	16.6
-0.5	21.6
9	25.5
13.1	19.4
8.7	19.7
3.9	13.2
0.7	14.1
1.1	18
5.1	23.3
7.5	23.3
4.7	19.5
3.2	21.9
7.8	16.2
2.4	17.3
3.2	18.7
2.5	20.9
6.5	25.7
14.4	24.3
4.9	18.9
2.3	16.8
1.4	20.6
5.6	27.6
16.8	28.9
14.4	20.7
10.3	21.3
11.2	18
0.3	16
0.5	17.9
0.5	20
4.6	22
8.2	22.4
4.5	23.9
6.7	26.1
11.9	21.1
9.2	19.6
4.4	21
5	24.1
6.7	24.7
8.3	28.5
11.3	27.4
9	20.6
3.4	15
3.2	18
0.9	20.7
3.3	25.5
7.9	26.1
9	30.7
7.1	28.4
12.5	19.9
12.5	26.9
12.3	30.2
